Legislation,Offence
PROCEEDS OF CRIME ACT 2002 S.327,"Concealing, disguising, converting, transferring, removing criminal property"
PROCEEDS OF CRIME ACT 2002 S.328,"Arrangement which facilitates acquisition, use of criminal property by another"
PROCEEDS OF CRIME ACT 2002 S.329,"Acquiring, using, possessing criminal property"
"PROCEEDS OF CRIME ACT 2002 S.330,331,332",Person in business failing to disclose identity of money-launderer
PROCEEDS OF CRIME ACT 2002 S.333A,Tipping off to prejudice money-laundering investigation
PROCEEDS OF CRIME ACT 2002 S.342,Prejudicing civil recovery or money laundering investigation
PROHIBITION OF FEMALE CIRCUMCISION ACT 1985 (PF85) S.1(1)(A),Circumcision of a female
PROHIBITION OF FEMALE CIRCUMCISION ACT 1985 (PF85) S.1(1)(B),Aiding and abetting circumcision of a female
PROHIBITION OF FEMALE CIRCUMCISION ACT 1985 (PF85) S.1(1)(B),Counselling female to be circumcised
PROHIBITION OF FEMALE CIRCUMCISION ACT 1985 (PF85) S.1(1)(B),Procuring circumcision of a female
PROTECTION OF AIRCRAFT ACT 1973 S.1(1)(A),1. Destroy aircraft in service.  2. So damage aircraft in service to render it incapable of flight/likely to endanger its safety in flight 
PROTECTION OF AIRCRAFT ACT 1973 S.1(1)(B),Commit on board an aircraft any act of violence likely to endanger the safety of the aircraft
PROTECTION OF AIRCRAFT ACT 1973 S.1(2),Place any device or substance on an aircraft likely to destroy it/so damage it to render it incapable of flight
PROTECTION OF AIRCRAFT ACT 1973 S.2,Commit acts to destroy/damage/interfere with property which endanger/are likely to endanger the safety of aircraft
PROTECTION OF AIRCRAFT ACT 1973 S.2,Intentionally communicate false/ misleading/deceptive information to endanger/likely to endanger the safety of an aircraft in flight
PROTECTION OF AIRCRAFT ACT 1973 S.3,Induce/assist the commission of acts in sections 1 and 2 outside the UK
PROTECTION OF AIRCRAFT ACT 1973 S.16,Have without reasonable excuse certain dangerous articles - firearm. Explosives/any article adapted to injure/incapacitate a person/destroy or damage property -on a UK registered plane or any other plane in flight over/in UK 
PROTECTION OF CHILDREN ACT 1978 S.1,"Indecent photographs of children: take, permit  or make, possess, distribute or publish an indecent photograph or pseudo photograph of a child"
PROTECTION OF CHILDREN AND VULNERABLE ADULTS (NORTHERN IRELAND) ORDER 2003 ART 30,Offer/procures/fails to remove disqualified person from work with children in regulated position
PROTECTION OF CHILDREN AND VULNERABLE ADULTS (NORTHERN IRELAND) ORDER 2003 ART 46,Unsuitable to work with vulnerable adults applies/offers/accepts work in care position.
PROTECTION FROM HARASSMENT (NORTHERN IRELAND) ORDER 1997 ARTICLE.4,Course of conduct amounting to harassment of another  - acts of harassment include acts of stalking
PROTECTION FROM HARASSMENT (NORTHERN IRELAND) ORDER 1997 ARTICLE.5(6),Breach of a civil court's injunction against harassment
PROTECTION FROM HARASSMENT (NORTHERN IRELAND) ORDER 1997 ARTICLE.6,Course of conduct on at least two occasions putting a person in fear of violence – acts of harassment/stalking
PROTECTION FROM HARASSMENT (NORTHERN IRELAND) ORDER 1997 ARTICLE. 7(5),Breach of a criminal court's restraining order
PROTECTION OF CHILDREN (NORTHERN IRELAND) ORDER 1978 ARTICLE. 3(1)(A),Permitting the taking of indecent photographs or pseudo-photographs of children
PROTECTION OF CHILDREN (NORTHERN IRELAND) ORDER 1978 ARTICLE. 3(1)(B),Showing indecent photographs or pseudo-photographs of children
PROTECTION OF CHILDREN (NORTHERN IRELAND) ORDER  1978 ARTICLE. 3(1)(D),Advertising indecent photograph or pseudo-photograph of child
PROTECTION OF CHILDREN (NORTHERN IRELAND) ORDER 1978 ARTICLE. 3(1)(D),Causing indecent photograph or pseudo-photograph of child to be advertised
PROTECTION OF CHILDREN (NORTHERN IRELAND) ORDER 1978 ARTICLE. 3(1)(A),Taking indecent photographs or pseudo-photographs of children
PROTECTION OF CHILDREN (NORTHERN IRELAND) ORDER 1978 ARTICLE. 3(1(B)),Distributing indecent photographs or pseudo-photographs of children
PROTECTION OF CHILDREN (NORTHERN IRELAND) ORDER 1978 ARTICLE .3(1)(C),Possessing indecent photographs or pseudo-photographs of children with a view to distributing or showing
PROTECTION OF CHILDREN (NORTHERN IRELAND) ORDER 1978 ARTICLE .3(1)(A),Making indecent photograph or pseudo-photograph of children
PROTECTION OF CHILDREN AND PREVENTION OF SEXUAL OFFENCES (SCOTLAND) ACT 2005 S.1,Meeting a child following certain preliminary contact
PROTECTION OF CHILDREN AND PREVENTION OF SEXUAL OFFENCES (SCOTLAND) ACT 2005 S.9,Paying for sexual services of a child
PROTECTION OF CHILDREN AND PREVENTION OF SEXUAL OFFENCES (SCOTLAND) ACT 2005 S.10,Causing or inciting provision by child of sexual services or child pornography
PROTECTION OF CHILDREN AND PREVENTION OF SEXUAL OFFENCES (SCOTLAND) ACT 2005 S.11,Controlling a child providing sexual services or child pornography
PROTECTION OF CHILDREN AND PREVENTION OF SEXUAL OFFENCES (SCOTLAND) ACT 2005 S.12,Arranging or facilitating provision by child of sexual services or child pornography
PROTECTION OF PERSONS AND PROPERTY ACT (NORTHERN IRELAND) 1969 SECTION .1,"Intimidation of a person by force , threats or menaces to leave their home"
PROTECTION OF PERSONS AND PROPERTY ACT (NORTHERN IRELAND) 1969 SECTION .1,"Intimidation of a person by force , threats or menaces to leave place of employment or to terminate their employment"
PROTECTION OF PERSONS AND PROPERTY ACT (NORTHERN IRELAND) 1969 S.2,Possessing petrol bomb in suspicious circumstances
PROTECTION OF PERSONS AND PROPERTY ACT (NORTHERN IRELAND) 1969 S.3,Using/throwing petrol bomb
PUBLIC ORDER AMENDMENT ACT (NI) 1970 S7,Quasi-military organisation 
PUBLIC ORDER ACT 1986 (PU86) S.38,Pretended contamination/contamination of good with intention to alarm the public
PUBLIC ORDER (NORTHERN IRELAND) ORDER  1987 ARTICLE 9,"Use of threatening, abusive or insulting words/behaviour to stir up hatred or fear"
PUBLIC ORDER (NORTHERN IRELAND) ORDER  1987 ARTICLES. 10-12,"Publishing record, film , record or film broadcast to stir up fear or hatred"
PUBLIC ORDER (NORTHERN IRELAND) ORDER  1987 ARTICLE. 13,Possessing documents to stir up fear or hatred
PUBLIC ORDER (NORTHERN IRELAND) ORDER  1987 ARTICLE. 18(3),Riotous behaviour in a public place
PUBLIC ORDER (NORTHERN IRELAND) ORDER  1987 ARTICLE. 22,Carrying offensive weapon in public
PUBLIC ORDER (NORTHERN IRELAND) ORDER  1987 ARTICLE. 23,"Trespass/unlawful acts, in public building"
PUNISHMENT OF INCEST ACT 1908 S.1,"Incest by a male with a female family member - grand-daughter, daughter, sister or mother"
PUNISHMENT OF INCEST ACT 1908 S.2,"Incest by female of or above age 16  with a family member - grandfather, father, brother or son"
THE REGISTERED CARE HOMES (NORTHERN IRELAND) ORDER 1992 ART 4,Carrying on a residential care home without being registered
THE REGISTERED CARE HOMES (NORTHERN IRELAND) ORDER 1992 ART 5,Proporting to be a care residential care home with intention to deceive without being registered
THE REGISTERED CARE HOMES (NORTHERN IRELAND) ORDER 1992 ART 6,Failure to display certificate of registration.
THE REGISTERED CARE HOMES (NORTHERN IRELAND) ORDER 1992 ART 7,Failure to comply with a condition of registration for a residential care home
"REGISTERED CARE HOMES (NORTHERN IRELAND) ORDER 1992, ART 17(1)",Carrying on a nursing home whilst not registered
THE REGISTERED CARE HOMES (NORTHERN IRELAND) ORDER 1992 ART 18,Proporting to be nursing home with intention to deceive without being registered
THE REGISTERED CARE HOMES (NORTHERN IRELAND) ORDER 1992 ART 19,Failure to display certificate of registration of a nursing home
THE REGISTERED CARE HOMES (NORTHERN IRELAND) ORDER 1992 ART 20,Failure to comply with a condition of registration for a nursing home
THE REGISTERED CARE HOMES (NORTHERN IRELAND) ORDER 1992 ART 28,Contravention of regulations made under this Article
THE REGISTERED CARE HOMES (NORTHERN IRELAND) ORDER 1992 ART 29,Obstruction of power of inspection for residential care homes or nursing homes 
ROAD TRAFFIC (NORTHERN IRELAND) ORDER 1981 ARTICLE.139(1),Causing death or grievous bodily harm by reckless driving
ROAD TRAFFIC (NORTHERN IRELAND) ORDER 1981 ARTICLE.172B(1),Aggravated vehicle-taking - dangerous driving leading to accident causing death or grievous bodily injury
ROAD TRAFFIC (NORTHERN IRELAND) ORDER 1995 ARTICLE.9,Causing death by dangerous driving
ROAD TRAFFIC (NORTHERN IRELAND) ORDER 1995 ARTICLE.9,Causing grievous bodily injury by dangerous driving
ROAD TRAFFIC (NORTHERN IRELAND) ORDER 1995 ARTICLE.11A,Causing death by careless driving
ROAD TRAFFIC (NORTHERN IRELAND) ORDER 1995 ARTICLE.11A,Grievous bodily injury by careless driving
ROAD TRAFFIC (NORTHERN IRELAND) ORDER 1995 ARTICLE.12B,"Causing death by unlicensed, disqualified or uninsured driver"
ROAD TRAFFIC (NORTHERN IRELAND)ORDER 1995 ARTICLE.12B,"Causing grievous bodily injury by unlicensed, disqualified or uninsured driver"
ROAD TRAFFIC (NORTHERN IRELAND) ORDER 1995 ARTICLE 14 ,Causing death by careless driving when unfit through drink
ROAD TRAFFIC (NORTEHRN IRELAND) ORDER 1995 ARTICLE 14,Causing grievous bodily injury by careless driving when unfit through drink
ROAD TRAFFIC (NORTHERN IRELAND) ORDER 1995 ARTICLE. 14,Causing death by careless driving when unfit  through drugs
ROAD TRAFFIC (NORTHERN IRELAND) ORDER 1995 ARTICLE 14,Causing grievous bodily injury by careless driving when unfit through drugs
SAFEGUARDING VULNERABLE GROUPS (NORTHERN IRELAND) ORDER 2007 ARTICLE.23(1),Act/appear to act for regulated provider permit other to engage in unmonitored activity
SAFEGUARDING VULNERABLE GROUPS (NORTHERN IRELAND) ORDER 2007 ARTICLE 23(2),Act/appear to act for personnel supplier supply another to barred person to engage in regulated activity
SAFEGUARDING VULNERABLE GROUPS (NORTHERN IRELAND) ORDER 2007  ARTICLE. 23(3),Act/appear to act for personnel supplier supply another unmonitored person to engage in regulated activity
SAFEGUARDING VULNERABLE GROUPS (NORTHERN IRELAND) ORDER 2007 ARTICLE.11,Sought to engage/offered to engage/engaged in regulated activity from which barred
SAFEGUARDING VULNERABLE GROUPS (NORTHERN IRELAND) ORDER 2007 ARTICLE.13(1),Know/reason to believe another was barred from regulated activity permitted them to engage in such activity
SAFEGUARDING VULNERABLE GROUPS (NORTHERN IRELAND) ORDER 2007 ARTICLE.13(2),Know/reason to believe another was barred from regulated activity supplied another person to them
SCHEDULE TO THE SAFEGUARDING VULNERABLE GROUPS (PRESCRIBED CRITERIA AND MISCELLANEOUS PROVISIONS) REGULATIONS (NORTHERN IRELAND) 2009,Offences in relation to barring those considered to be unsuitable for work with children or vulnerable adults
SERIOUS CRIME ACT 2007 S.44,Intentionally encourage/assist the commission of an offence
SERIOUS CRIME ACT 2007 S.45,Encourage/assist the commission of an offence believing it will be committed
SERIOUS CRIME ACT 2007 S.46,Encourage/assist the commission of offences believing one or more of the offences will be committed
"SEXUAL OFFENCES ACT 1956, SECTION 1",Rape where the offence was committed against a child or adult
SEXUAL OFFENCES ACT 1956 S2,Procurement of woman  by threats
SEXUAL OFFENCES ACT 1956 S3,Procurement of woman by false pretences
SEXUAL OFFENCES ACT 1956 S4,Administering drugs to obtain or facilitate intercourse
SEXUAL OFFENCES ACT 1956 S5,Intercourse with girl under 13
SEXUAL OFFENCES ACT 1956 S6,Intercourse with girl between 13 and 16
SEXUAL OFFENCES ACT 1956 S7,Intercourse with defective
SEXUAL OFFENCES ACT 1956 S9,Procurement of defective
SEXUAL OFFENCES ACT 1956 S10,Incest by a man where offence was committed against a child or the other party did not consent
SEXUAL OFFENCES ACT 1956 S11,Incest by a woman where offence was committed against a child or the other party did not consent
SEXUAL OFFENCES ACT 1956 S12,Buggery - the person with whom the offence was committed was under 16 or did not consent and the conviction/caution is not a disregarded one within meaning of ch4 part 5 of the protection of freedoms act 2012
SEXUAL OFFENCES ACT 1956 S13,Indecency between men - the person with whom the offence was committed was under 16 or did not consent and the conviction/caution is not a disregarded one within meaning of ch4 part 5 of the protection of freedoms act 2012
"SEXUAL OFFENCES ACT 1956, S14",Indecent assault on a woman
SEXUAL OFFENCES ACT 1956 S15,Indecent assault on a man
SEXUAL OFFENCES ACT 1956 S16,Assault with intent to commit buggery
SEXUAL OFFENCES ACT 1956 S17,Abduction of woman by force of for the sake of her property
SEXUAL OFFENCES ACT 1956 S19,Abduction of unmarried girl under 18 from parent or guardian
SEXUAL OFFENCES ACT 1956 S20,Abduction of unmarried girl under 16 from parent or guardian
SEXUAL OFFENCES ACT 1956 S21,Abduction of defective from parent or guardian
SEXUAL OFFENCES ACT 1956 S22,Causing prostitution of women
SEXUAL OFFENCES ACT 1956 S23,Procuration of girl under 21
SEXUAL OFFENCES ACT 1956 S24,Detention of woman in brothel or other premises
SEXUAL OFFENCES ACT 1956 S25,Permitting girl under 13 to use premises for intercourse
SEXUAL OFFENCES ACT 1956 S26,Permitting girl between 13 and 16 to use premises for intercourse
SEXUAL OFFENCES ACT 1956 S27,Permitting defective to use premises for intercourse
SEXUAL OFFENCES ACT 1956 S28,"Causing or encouraging prostitution of, intercourse with, or indecent assault on, girl under 16"
SEXUAL OFFENCES ACT 1956 S29,Causing or encouraging prostitution of a defective
SEXUAL OFFENCES ACT 1956 S30,Man living on earnings of prostitution
SEXUAL OFFENCES ACT 1956 S31,Woman exercising control over prostitute
SEXUAL OFFENCES ACT 1967 S.4,Procuring others to commit homosexual acts
SEXUAL OFFENCES ACT 1967 S.5,Living on earnings of male prostitution
"SEXUAL OFFENCES ACT 1976, S3",Intercourse with girl under 13
SEXUAL OFFENCES (SCOTLAND) ACT 1976 S2A,Incest where the offence was committed against a child
SEXUAL OFFENCES (SCOTLAND) ACT 1976 S2B,Intercourse with step-child where the offence was committed against a child
SEXUAL OFFENCES (SCOTLAND) ACT 1976 S2C,Sexual intercourse with a child by a person in a position of trust or authority
SEXUAL OFFENCES (SCOTLAND) ACT 1976 S.3,Sexual intercourse with a girl under 13
SEXUAL OFFENCES (SCOTLAND) ACT 1976 S.4,"Having or attempting to have, sexual intercourse with a girl above age 13 & under age 16"
SEXUAL OFFENCES (AMENDMENT) ACT 2000 (SA00) S.3(1),Had sexual intercourse with person under age of 18 at a time when you were in a position of trust
SEXUAL OFFENCES (AMENDMENT) ACT 2000 (SA00) S.3(1),Engaged in sexual activity other than sexual intercourse with a person under 18 when in a position of trust
SEXUAL OFFENCES ACT 2003 SECTION 1,Rape where the offence is committed against a child
SEXUAL OFFENCES ACT 2003 SECTION 2,Assault by penetration 
SEXUAL OFFENCES ACT 2003 SECTION 3,Sexual assault
SEXUAL OFFENCES ACT 2003 SECTION 4,Causing a person to engage in sexual activity without consent
SEXUAL OFFENCES ACT 2003 S5,Rape of a child under 13
SEXUAL OFFENCES ACT 2003 S6,Assault of a child under 13 by penetration
SEXUAL OFFENCES ACT 2003 S7 ,Sexual assault of a child under 13
SEXUAL OFFENCES ACT 2003 S8,Causing or inciting a child under 13 to engage in sexual activity
SEXUAL OFFENCES ACT 2003 S9,Sexual activity with a child
SEXUAL OFFENCES ACT 2003 S10,Causing or inciting a child to engage in sexual activity
SEXUAL OFFENCES ACT 2003 S11,Engaging in sexual activity in the presence of a child
SEXUAL OFFENCES ACT 2003 S12,Causing a child to watch a sexual act
SEXUAL OFFENCES ACT 2003 S14,Arranging or facilitating commission of a child sex offence
SEXUAL OFFENCES ACT 2003 SECT 20,Abuse of position of trust : acts done in Scotland
SEXUAL OFFENCES ACT 2003 SECT 15,Meeting a child  following sexual grooming etc
SEXUAL OFFENCES ACT 2003 SECT 16,Abuse of position of trust; sexual activity with a child
SEXUAL OFFENCES ACT 2003 SECT 17,Abuse of position of trust; causing or inciting a child to engage in sexual activity
SEXUAL OFFENCES ACT 2003 SECT 18,Abuse of position of trust; sexual activity in the presence of a child
SEXUAL OFFENCES ACT 2003 SECT 19,Abuse of position of trust; causing a child to watch a sexual act
SEXUAL OFFENCES ACT 2003 SECT 25,Sexual activity with a child family member
SEXUAL OFFENCES ACT 2003 SECT 26,Inciting a child family member to engage in sexual activity
SEXUAL OFFENCES ACT 2003 SECTION 30,Sexual activity with a person with mental disorder impeding choice 
SEXUAL OFFENCES ACT 2003 SECTION 31,Causing or inciting a person with a mental disorder impeding choice to engage in sexual activity 
SEXUAL OFFENCES ACT 2003 SECTION 32,Engaging in sexual activity in the presence of a person with a mental disorder impeding choice 
SEXUAL OFFENCES ACT 2003 SECTION 33,Causing a person with a mental disorder impeding choice to watch a sexual act
SEXUAL OFFENCES ACT 2003 SECTION 34,"Inducement, threat or deception to procure sexual activity with a person with a mental disorder"
SEXUAL OFFENCES ACT 2003 SECTION 35,"Causing a person with a mental disorder to engage in or agree to engage in sexual activity by inducement, threat or deception"
SEXUAL OFFENCES ACT 2003 SECTION 36,"Engaging in sexual activity in the presence, procured by inducement, threat or deception, of a person with a mental disorder"
SEXUAL OFFENCES ACT 2003 SECTION 37,"Causing a person with a mental disorder to watch a sexual act by inducement, threat or deception"
SEXUAL OFFENCES ACT 2003 SECTION 38,Care workers sexual activity with a person with a mental disorder
SEXUAL OFFENCES ACT 2003 SECTION 39,Care workers causing or inciting sexual activity
SEXUAL OFFENCES ACT 2003 SECTION 40,Care workers sexual activity in the presence of a person with a mental disorder
SEXUAL OFFENCES ACT 2003 SECTION 41,Care workers causing a person with a mental disorder to watch a sexual act
SEXUAL OFFENCES ACT 2003 SECT 47,Paying for the sexual services of a child
SEXUAL OFFENCES ACT 2003 SECT 48,Causing or inciting child prostitution or pornography
SEXUAL OFFENCES ACT 2003 SECT 49,Controlling a child prostitute or child involved in pornography
SEXUAL OFFENCES ACT 2003 SECT 50,Arranging or facilitating child prostitution or pornography
SEXUAL OFFENCES ACT 2003 S.52,Cause/incite prostitution for gain
SEXUAL OFFENCES ACT 2003 S.53,Control prostitution for gain
SEXUAL OFFENCES ACT 2003 S.57,Arrange/facilitate arrival in UK of person for sexual exploitation -human trafficking
SEXUAL OFFENCES ACT 2003 S.58,Arranging/facilitate travel within UK of person for sexual exploitation -human trafficking
SEXUAL OFFENCES ACT 2003 S.58A,Arranging/facilitate travel outside UK of person for sexual exploitation -human trafficking
SEXUAL OFFENCES ACT 2003 S.59,Arranging/facilitate travel from the UK of a person for sexual exploitation-human trafficking
SEXUAL OFFENCES ACT 2003 S.59A,Human trafficking 
SEXUAL OFFENCES ACT 2003 S.61,Administering a substance with intent
SEXUAL OFFENCES ACT 2003 S62,Committing an offence with intent to commit a sexual offence
SEXUAL OFFENCES ACT 2003 S63,Trespass with intent to commit a relevant sexual offence
SEXUAL OFFENCES ACT 2003 S.66,Exposure
SEXUAL OFFENCES ACT 2003 S.67,Voyeurism
SEXUAL OFFENCES ACT 2003 S.69,Intercourse with an animal
SEXUAL OFFENCES ACT 2003 S.70,Sexual penetration of a corpse
SEXUAL OFFENCES ACT 2003 S72,An offence outside the UK which corresponds to an offence that would lead to automatic inclusion in the children's barred list with the right to make reps
SEXUAL OFFENCES ACT 2003 S.91,Offences relating to notification
SEXUAL OFFENCES ACT 2003 S.113,Breach of sexual offences prevention order
SEXUAL OFFENCES ACT 2003 S.122,Breach of foreign travel order
SEXUAL OFFENCES ACT 2003 S.128,Breach of risk of sexual harm order
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 1978 ARTICLE 3,Rape
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.5,Rape of female under 16
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.5,Rape of female aged 16 years or over
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.5,Rape of male under 16
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.5,Rape of male aged 16 years or over
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.6,Assault on female by penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.6,Assault on a male by penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008  ARTICLE.7,Sexual assault -intentionally touch female - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.7,Sexual assault - intentionally touch male - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.8(1),Cause female to engage in sexual activity without consent - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.8(1),Cause male to engage in sexual activity without consent - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.8(1),Cause female to engage in sexual activity without consent - penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.8(1),Cause male to engage in sexual activity without consent - penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.12(1),Rape of female child under 13 by a male
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.12(1),Rape of male child under 13 by a male
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.13,Assault child under 13 - penetration with part of body/object
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.13,Assault female child under 13 - penetration of vagina/ anus with part of body /object
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.13,Assault male child under 13 - penetration of anus with part of body/object
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.14(1),Sexual assault of female child under 13
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.14(1),Sexual assault of male child under 13
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.15(1),Cause/incite a female child under 13 to engage in sexual activity - no penetration
SEXUAL OFFENCES ( NORTHERN IRELAND) ORDER 2008 ARTICLE.15(1),Cause/incite a male child under 13 to engage in sexual activity - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.15(1),Cause/incite female child u13 engage in sexual activity - penetration anus/vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.15(1),Cause/incite male child u13 engage in sexual activity-penetration of anus/ vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.16(1)(C)(II),Sexual activity with female child u13 offender 18 or over penetrate anus /vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.16(1)(C)(II),Sexual activity with male child u13 offender 18 or over penetrate anus/vagina /mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.16(1)(C)(I),Sexual activity female child u16 offender 18 or over penetrate anus/vagina/ mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.16(1)(C)(I),Sexual activity with male child u16 offender 18 or over penetrate anus/vagina /mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.16(1)(C)(II) + ARTICLE 20,Sexual act with female child u13 offender child/young person penetrate anus/ vagina mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.16(1)(C)(II) + ARTICLE 20,Sexual act with male child u13 offender child/young person penetrate anus/vagina /mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND0 ORDER 2008 ARTICLE.16(1)(C)(I) + ARTICLE 20,Sexual act with female child u16 offender child/young person penetrate anus/ vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.16(1)(C)(I) + ARTICLE 20,Sexual act with male child u16 offender child/young person penetrate anus/ vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.16(1)(C)(II),Sexual activity with female child under 13 - offender 18 or over - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.16(1)(C)(II),Sexual activity with male child under 13 - offender 18 or over - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.16(1)(C)(I),Sexual activity with female child under 16 - offender 18 or over - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.16(1)(C)(I),Sexual activity with male child under 16 - offender 18 or over - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.16(1)(C)(II) + ARTICLE 20,Sexual activity with female child under 13 - offender aged under 18 - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.16(1)(C)(II) + ARTICLE 20,Sexual activity with male child under 13 - offender aged under 18 - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.16(1)(C)(I) + ARTICLE 20,Sexual activity with female child under 16 - offender under 18 - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.16(1)(C)(I) + ARTICLE 20 ,Sexual activity with male child under 16 - offender under 18 - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.17(1),Cause/incite female child u13 engage sexual act offender 18+ penetrate anus/vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.17(1),Cause/incite male child u13 engage sexual act offender 18+ penetrate anus/ vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.17(1),Cause/incite female child u16 engage sexual act offender 18+ penetrate anus/ vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.17(1),Cause/incite male child u16 engage sexual act offender 18+ penetrate anus/ vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.17(1),Cause/incite female child under 13 to engage in sexual activity - offender 18 or over - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.17(1),Cause/incite male child under 13 to engage in sexual act- offender 18 or over - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.17(1),Cause/incite female child under 16 to engage in sexual activity - offender 18 or over - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.17(1),Cause/incite male child under 16 to engage in sexual activity - offender 18 or over - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE 17(1)+ ARTICLE.20,Incite female child u13 engage sex act off child/young person penetrate anus/vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.17(1)+ARTICLE.20,Incite male child u13 engage sex act off child/young person penetrate anus/vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.17(1)+ARTICLE.20,Incite female child u16 engage sex act off child/young person penetrate anus/vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.17(1)+ARTICLE.20,Incite male child u16 engage sex act off child/young person penetrate anus/ vagina/mouth by penis/body part
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.17(1)+ARTICLE.20,Cause/incite female child under 13 engage in sexual activity-offender under 18 - no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.17(1)+ARTICLE.20,Cause/incite male child under 13 engage in sexual activity - offender under 18 no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.17(1)+ARTICLE.20,Cause/incite female child under 16 engage in sexual activity- offender under 18 no penetration
SEXUAL OFFENCES (NORTHERN IRELAND) ORDER 2008 ARTICLE.17(1)+ARTICLE.20,Cause/incite male child under 16 engage in sexual activity - offender under 18 - no penetration
